client_id,full_name,city,email,age,gender,annual_income,credit_score,debt_ratio,loan_amount,owns_home,loan_purpose,employment,years_job
C01501,Louise de la Fontaine,Sainte Suzanne,dimbert@example.org,32,M,53408.23,825.0,24.91,14337.65,Oui,Éducation,CDD,3.3
C02586,Zoé-Pauline Besnard,Saint Émilie,margotfaure@example.net,39,F,21886.14,750.0,36.6,2605.04,Oui,Auto,Sans Emploi,9.4
C02653,René Thibault,Courtois,elemaitre@example.org,39,M,48880.32,629.0,9.55,10712.18,Oui,Auto,CDD,5.7
C01055,Éric Le Guyot,Martel,marcel61@example.net,74,F,26208.73,651.0,44.24,23691.95,Non,Business,CDI,3.4
C00705,Andrée Vaillant,AntoineVille,mauriceschmitt@example.com,50,M,81981.49,786.0,31.53,13117.38,Oui,Business,CDI,0.4
C00106,Benjamin Couturier,Lebreton,agneshuet@example.org,62,F,44133.76,690.0,7.84,1231.72,Oui,Rénovation,Freelance,2.0
C00589,Émile Delmas,Mace,cbouvet@example.com,66,F,60039.92,685.0,22.33,31069.1,Non,Auto,CDI,2.5
C02468,Aurélie Le Bigot,GrosVille,bgros@example.com,19,M,43308.87,714.0,33.61,16725.93,Non,Consommation,CDI,3.8
C02413,Amélie Thomas Le Bodin,Barre,audrey22@example.com,52,F,,749.0,34.29,8985.59,Non,Business,Sans Emploi,17.0
C01600,Noël Joubert de Lagarde,Sainte Sylvie,dalexandre@example.org,35,M,52138.57,641.0,10.56,14904.68,Non,Business,Freelance,10.0
C02464,Éléonore Gay du Morin,Jacques-sur-Bourgeois,stephanevallet@example.com,44,M,22061.26,656.0,23.09,5362.24,Oui,Éducation,CDI,15.1
C00228,Laetitia Schneider,Gaynec,suzannebonnet@example.com,49,M,44433.56,573.0,40.89,13031.58,Non,Auto,CDI,2.6
C00915,Marine-Laurence Godard,PetitjeanBourg,martylorraine@example.org,44,M,63140.15,543.0,14.98,8267.19,Non,Rénovation,CDD,0.7
C00794,Brigitte Evrard,Normand,gregoiremarechal@example.com,42,M,40158.02,773.0,9.25,13383.33,Non,Éducation,CDD,15.1
C03021,Patrick Petitjean,Jacob,timotheebarbier@example.com,25,M,42255.36,641.0,22.42,13133.35,Oui,Achat Maison,CDI,0.1
C03543,Océane Michaud du Roussel,Costa-sur-Lebrun,anoukdupuis@example.org,62,F,54540.75,700.0,64.76,14349.14,Non,Achat Maison,CDI,4.8
C01073,Martine Maury,Samsondan,alexandriehamel@example.com,47,M,,732.0,5.52,25200.55,Non,Achat Maison,Sans Emploi,3.2
C03351,Suzanne Nicolas,Antoine,collinbrigitte@example.com,71,F,,646.0,21.4,22271.4,Oui,Éducation,Sans Emploi,0.3
C01744,Adrienne Mercier,Blanc,qdupre@example.com,29,F,,627.0,7.45,17592.12,Non,Achat Maison,Freelance,1.1
C01084,Arnaude Besson,Saint RolandVille,pereztherese@example.com,29,F,24097.46,602.0,36.8,1247.27,Non,Consommation,Freelance,0.8
C00926,Julien-Michel Coulon,Dumont,francois45@example.com,48,M,37019.3,692.0,52.07,11756.5,Non,Achat Maison,CDI,0.9
C03049,Hélène de Coste,Carpentier,virginie37@example.net,58,M,33044.1,810.0,46.24,24251.21,Non,Éducation,CDD,5.2
C01117,Julie Peltier,Dumas-les-Bains,julienbouvier@example.org,51,M,,736.0,41.95,6445.7,Autre,Rénovation,Sans Emploi,2.2
C00642,Lucas Blot,Fabre,zmerle@example.com,66,F,35495.66,706.0,36.3,31235.69,Oui,Éducation,CDD,2.3
C04768,Guillaume de la Marchal,Prévost,noemimarchal@example.net,24,F,39921.49,778.0,55.6,20392.67,Non,Éducation,CDI,13.3
C00501,Claudine du Robin,Mariedan,juliette65@example.com,55,F,,769.0,23.92,25915.35,Oui,Consommation,Sans Emploi,12.5
C04066,Thibault Joseph,Thierry,mmallet@example.com,66,F,36961.14,613.0,41.14,5061.68,Oui,Consommation,CDD,5.3
C00333,Thibaut Benard-Vasseur,Sainte Denisdan,sebastiengaudin@example.net,65,F,28186.35,679.0,40.33,23241.44,Non,Rénovation,Freelance,9.3
